available cuda: 2
load model from checkpoint, threshold: [0.5, 1.5, 2.5, 3.5, 4.5], valid score: 0.825
loading data: May24_18-49-34
data loaded: May24_18-52-47
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May24_18-52-48
epoch:83, train:0.347, valid:0.325, threshold: [0.55052172 1.49160675 2.43800827 2.85800841 3.5999967 ]score:0.834, best:0.849, date:May25_06-34-35
epoch:84, train:0.340, valid:0.306, threshold: [0.57139378 1.57668706 2.59251617 3.0569298  3.82451592]score:0.838, best:0.849, date:May25_06-42-56
epoch:85, train:0.326, valid:0.319, threshold: [0.5947066  1.66682699 2.82178992 1.90142681 3.6297363 ]score:0.834, best:0.849, date:May25_06-51-18
epoch:86, train:0.335, valid:0.311, threshold: [0.61856564 1.48403169 2.2153227  2.91424233 3.81298659]score:0.839, best:0.849, date:May25_06-59-39
epoch:87, train:0.330, valid:0.417, threshold: [0.61968276 1.51383307 2.5383257  2.91337142 3.75973938]score:0.774, best:0.849, date:May25_07-08-00
epoch:88, train:0.338, valid:0.343, threshold: [0.63631022 1.62116873 2.60173301 1.93700165 3.51246891]score:0.830, best:0.849, date:May25_07-16-22
epoch:89, train:0.333, valid:0.323, threshold: [0.60551094 1.68083958 2.10095792 2.87451378 3.7073655 ]score:0.837, best:0.849, date:May25_07-24-42
epoch:90, train:0.332, valid:0.329, threshold: [0.61872982 1.7347585  2.74651324 2.24793265 3.75703062]score:0.826, best:0.849, date:May25_07-33-03
epoch:91, train:0.339, valid:0.311, threshold: [0.56807755 1.51919419 2.44978569 3.44345754 3.84882016]score:0.832, best:0.849, date:May25_07-41-25
epoch:92, train:0.327, valid:0.321, threshold: [0.61077108 1.60715906 2.09711977 2.81341048 3.58655893]score:0.844, best:0.849, date:May25_07-49-46
epoch:93, train:0.330, valid:0.325, threshold: [0.60951714 1.74693328 2.45606402 2.22655041 3.73533545]score:0.832, best:0.849, date:May25_07-58-07
epoch:94, train:0.331, valid:0.373, threshold: [0.67162103 1.75524085 2.730315   1.20213648 3.66093513]score:0.819, best:0.849, date:May25_08-06-29
epoch:95, train:0.339, valid:0.332, threshold: [0.5526522  1.65894109 2.45476713 3.28606114 4.05111101]score:0.821, best:0.849, date:May25_08-14-50
epoch:96, train:0.335, valid:0.306, threshold: [0.56734086 1.54424464 2.57937122 3.20647658 4.00111172]score:0.838, best:0.849, date:May25_08-23-11
epoch:97, train:0.350, valid:0.338, threshold: [0.58203834 1.58033765 2.36208292 3.18234789 4.09442058]score:0.821, best:0.849, date:May25_08-31-32
